is there really a commitment or an illusion of activity he asks	is there really a commitment or an illusion of activity he will ask
samuel hall howard university 's placement director also does n't see it	samuel hall howard university 's placement director also will not see it
and he questions the white house dedication	and he will question the white house dedication
i do n't think the bush administration has done anything he says	i will not think the bush administration has done anything he will say
recruiter donald clark does note an increase in searches for minority candidates	recruiter donald clark will note an increase in searches for minority candidates
pay for performance hangs mostly on boss 's subjective view	pay for performance will hang mostly on boss 's subjective view
many companies have set up machinery to assure workers a fair shake	many companies will have set up machinery to assure workers a fair shake
japanese companies fare best in u.s. when they give americans more say	japanese companies will fare best in u.s. when they will give americans more say
americans stay longer with japanese firms than american companies	americans will stay longer with japanese firms than american companies
but they think promotions are limited	but they will think promotions will be limited
some consultants had insisted it would n't work	some consultants will have insisted it will n't work
long-term care insurance gains favor	long-term care insurance will gain favor
fear of aids hinders hiring at few hospitals	fear of aids will hinder hiring at few hospitals
i can tell you that nobody quit over it	i can tell you that nobody will quit over it
no one panicked a spokeswoman says	no one will panic a spokeswoman will say
ibm 's push is also unusual in its approach to marketing	ibm 's push will be also unusual in its approach to marketing
mr. byrum and ms. smith could n't be reached for comment	mr. byrum and ms. smith can n't be reached for comment
sales declined 10 % to 251.2 million from 278.7 million	sales will decline 10 % to 251.2 million from 278.7 million
the atlanta-based chemical manufacturer said lower prices hurt margins for most products	the atlanta-based chemical manufacturer will say lower prices will hurt margins for most products
the exclusion would apply to assets sold after oct. 1 1989	the exclusion will apply to assets will sold after oct. 1 1989
newly acquired assets would get a bigger break than those currently held	newly acquired assets will get a bigger break than those will currently held
senators are focusing on making a capital-gains differential permanent	senators will be focusing on making a capital-gains differential permanent
the current debt limit expires oct. 31	the current debt limit will expire oct. 31
the most pressing problem was the suspension of options trading	the most pressing problem will be the suspension of options trading
workers could dial out but they could n't receive telephone calls	workers can dial out but they can n't receive telephone calls
if one city is down the other can take over	if one city will be down the other can take over
meanwhile the brokerage firms in san francisco were trying to cope	meanwhile the brokerage firms in san francisco will be trying to cope
that should happen by today he said	that should happen by today he will say
also most of the telecommunications equipment was out	also most of the telecommunications equipment will be out
we are having a regular day	we will be having a regular day
we are seeing such exercises today in fact	we will be seeing such exercises today in fact
interest expense in the 1988 third quarter was 75.3 million	interest expense in the 1988 third quarter will be 75.3 million
